,Team,Year,Bronze,Gold,Silver
842,Jamaica,1988,0,0,7
843,Jamaica,1992,1,0,3
844,Jamaica,1996,12,1,3
845,Jamaica,2000,3,0,20
846,Jamaica,2004,6,6,1
847,Jamaica,2008,6,5,3
848,Jamaica,2012,8,8,9
849,Jamaica,2016,2,11,17
850,Japan,1920,0,0,3
851,Japan,1924,1,0,0
852,Japan,1928,1,2,6
853,Japan,1932,4,10,17
854,Japan,1936,10,9,4
855,Japan,1952,2,1,9
856,Japan,1956,5,4,15
857,Japan,1960,12,9,10
858,Japan,1964,25,32,5
859,Japan,1968,22,16,25
860,Japan,1972,8,29,19
861,Japan,1976,10,25,6
862,Japan,1984,31,10,8
863,Japan,1988,13,4,3
864,Japan,1992,36,3,8
865,Japan,1996,13,3,26
866,Japan,2000,8,5,31
867,Japan,2004,52,21,20
868,Japan,2008,13,23,15
869,Japan,2012,33,7,42
870,Japan,2016,34,17,13
871,Japan-1,2012,0,0,2
872,Jest,1956,0,2,0
873,Jo,1920,0,3,0
874,Jordan,2016,0,1,0
875,Joy,1932,0,0,2
876,Jupiter,1932,0,2,0
877,K Division Metropolitan Police Team-3,1908,8,0,0
878,Kathleen,1956,0,2,0
879,Kazakhstan,1996,4,3,4
880,Kazakhstan,2000,0,3,4
881,Kazakhstan,2004,3,1,4
882,Kazakhstan,2008,7,2,4
883,Kazakhstan,2012,5,7,1
884,Kazakhstan,2016,10,3,5
885,Kenya,1964,1,0,0
886,Kenya,1968,2,3,7
887,Kenya,1972,4,5,3
888,Kenya,1984,2,1,0
889,Kenya,1988,2,5,2
890,Kenya,1992,2,2,4
891,Kenya,1996,3,1,4
892,Kenya,2000,2,2,3
893,Kenya,2004,2,1,4
894,Kenya,2008,5,6,4
895,Kenya,2012,5,2,4
896,Kenya,2016,1,6,6
897,Kerstin-1,1912,3,0,0
898,Kitty-1,1912,0,8,0
899,Kosovo,2016,0,1,0
900,Kristiania Roklub-1,1912,5,0,0
901,Kullan,1920,0,3,0
902,Kurush II,1948,0,0,2
903,Kuwait,2000,1,0,0
904,Kuwait,2012,1,0,0
905,Kyrgyzstan,2000,1,0,0
906,Kyrgyzstan,2008,1,0,1
907,L'Aile VI,1928,0,6,0
908,Lady C,1964,0,0,2
909,Lalage,1936,0,5,0
910,"Large boat, Central Naval Prep School ""Poros""-1",1906,0,17,0
911,Latvia,1932,0,0,1
912,Latvia,1936,1,0,1
913,Latvia,1992,1,0,2
914,Latvia,1996,0,0,1
915,Latvia,2000,1,1,1
916,Latvia,2004,0,0,4
917,Latvia,2008,1,1,1
918,Latvia,2012,0,1,0
919,Latvia-1,2012,2,0,0
920,Laurea-1,1900,1,0,0
921,Leander Club #1-1,1908,0,2,0
922,Leander Club #2-2,1908,0,0,2
923,Leander Club-1,1908,0,9,0
924,Leander Club-1,1912,0,9,0
925,Leander Club-2,1908,0,0,4
926,Lebanon,1952,1,0,1
927,Lebanon,1972,0,0,1
928,Lebanon,1980,1,0,0
929,Lerina,1900,0,3,3
930,Libellule de Paris,1900,7,0,0
931,"Life boat naval ship ""Spetsai""-1",1906,0,0,7
932,Lithuania,1992,12,1,0
933,Lithuania,1996,11,0,0
934,Lithuania,2000,15,2,0
935,Lithuania,2004,0,1,2
936,Lithuania,2008,3,0,2
937,Lithuania,2012,2,2,1
938,Lithuania,2016,5,0,2
939,Liverpool Police Team-2,1908,0,0,8
940,Llanoria,1948,0,5,0
941,Llanoria,1952,0,6,0
942,London City Police-1,1908,0,8,0
943,Lucky Girl-1,1912,5,0,0
944,Ludwigshafener Ruder Verein-1,1900,5,0,0
945,Ludwigshafener Ruderverein,1912,0,5,0
946,Lully II,1936,0,0,5
947,Luxembourg,1900,0,1,0
948,Luxembourg,1920,0,0,1
949,Luxembourg,1924,0,1,1
950,Luxembourg,1928,0,1,0
951,Luxembourg,1952,0,1,0
952,Lyn-2,1920,0,0,5
953,Ma'Lindo,1960,0,0,2
954,Mac Miche,1912,0,3,0
955,Macedonia,2000,1,0,0
956,Macky VI,1960,3,0,0
957,Magda IX,1912,0,10,0
958,Magdalen College Boat Club-1,1908,0,4,0
959,Malaysia,1996,1,0,0
960,Malaysia,2008,0,0,1
961,Malaysia,2012,1,0,1
962,Malaysia,2016,1,0,7
963,Malaysia-1,1996,0,0,2
964,Malaysia-2,1992,2,0,0
965,Margaret,1948,2,0,0
966,"Marinai della nave da guerra ""Varese""",1906,17,7,0
967,Marmi II-1,1920,0,0,3
968,Martha-1,1900,4,0,4
969,Mascotte,1900,0,0,3
970,Mauritius,2008,1,0,0
971,May Be,1936,5,0,0
972,Merope,1952,0,2,0
973,Merope III,1956,0,0,2
974,Mexico,1932,0,0,2
975,Mexico,1936,16,0,0
976,Mexico,1948,4,4,1
977,Mexico,1952,0,0,1
978,Mexico,1956,1,1,0
979,Mexico,1960,1,0,0
980,Mexico,1964,1,0,0
981,Mexico,1968,3,3,3
982,Mexico,1972,0,0,1
983,Mexico,1976,1,1,0
984,Mexico,1980,9,0,1
985,Mexico,1984,1,2,3
986,Mexico,1988,2,0,0
987,Mexico,1992,0,0,1
988,Mexico,1996,1,0,0
989,Mexico,2000,3,1,2
990,Mexico,2004,1,0,3
991,Mexico,2008,2,2,0
992,Mexico,2012,3,16,5
993,Mexico,2016,2,0,3
994,Mignon-3,1900,1,0,0
995,Milwaukee Athletic Club-1,1904,0,5,0
996,Minerva Amsterdam,1900,9,3,5
997,Minotaur,1960,0,3,0
998,Missouri Athletic Club-3,1904,11,0,0
999,Mohawk Indians-2,1904,12,0,0
1000,Moldova,1996,1,0,2
1001,Moldova,2000,1,0,1
1002,Moldova,2008,1,0,0
1003,Moldova,2012,2,0,0
1004,Monaco,1924,1,0,0
1005,Mongolia,1968,3,0,1
1006,Mongolia,1972,0,0,1
1007,Mongolia,1976,0,0,1
1008,Mongolia,1980,2,0,2
1009,Mongolia,1988,1,0,0
1010,Mongolia,1992,2,0,0
1011,Mongolia,1996,1,0,0
1012,Mongolia,2004,1,0,0
1013,Mongolia,2008,0,2,2
1014,Mongolia,2012,3,0,2
1015,Mongolia,2016,1,0,1
1016,Montenegro,2012,0,0,14
1017,Morocco,1960,0,0,1
1018,Morocco,1984,0,2,0
1019,Morocco,1988,2,1,0
1020,Morocco,1992,1,1,1
1021,Morocco,1996,2,0,0
1022,Morocco,2000,4,0,1
1023,Morocco,2004,0,2,1
1024,Morocco,2008,1,0,1
1025,Morocco,2012,1,0,0
1026,Morocco,2016,1,0,0
1027,Moseley Wanderers,1900,0,0,15
1028,Mosk II,1920,0,7,0
1029,Mouchette-2,1908,0,0,10
1030,Mound City Rowing Club-2,1904,0,0,4
1031,Mozambique,1996,1,0,0
1032,Mozambique,2000,0,1,0
1033,Mutafo,1964,0,0,3
1034,Nadine,2008,0,0,1
1035,Namibia,1992,0,0,2
1036,Namibia,1996,0,0,2
1037,Namoussa,1924,5,0,0
1038,Netherlands,1900,6,0,0
1039,Netherlands,1906,5,0,1
1040,Netherlands,1908,12,0,0
1041,Netherlands,1912,26,0,0
1042,Netherlands,1920,25,9,8
1043,Netherlands,1924,15,8,1
1044,Netherlands,1928,8,20,23
1045,Netherlands,1932,1,2,10
1046,Netherlands,1936,19,8,7
1047,Netherlands,1948,30,8,2
1048,Netherlands,1952,0,0,18
1049,Netherlands,1960,2,0,1
1050,Netherlands,1964,16,5,10
1051,Netherlands,1968,1,6,7
1052,Netherlands,1972,2,3,1
1053,Netherlands,1976,12,0,2
1054,Netherlands,1980,5,0,1
1055,Netherlands,1984,14,20,7
1056,Netherlands,1988,36,3,6
1057,Netherlands,1992,8,5,20
1058,Netherlands,1996,26,38,9
1059,Netherlands,2000,23,27,29
1060,Netherlands,2004,22,4,51
1061,Netherlands,2008,4,39,15
1062,Netherlands,2012,19,21,29
1063,Netherlands,2016,11,9,25
1064,Netherlands Antilles,1988,0,0,1
1065,Netherlands-1,2016,2,0,0
1066,"New College, Oxford-2",1912,0,0,9
1067,New York Athletic Club,1904,0,5,0
1068,New York Athletic Club #1-1,1904,0,4,0
1069,New York Athletic Club-1,1904,0,7,0
1070,"New York Turnverein, New York",1904,0,0,6
1071,New Zealand,1920,1,0,0
1072,New Zealand,1924,1,0,0
1073,New Zealand,1928,0,1,0
1074,New Zealand,1932,0,0,2
1075,New Zealand,1936,0,1,0
1076,New Zealand,1952,2,1,0
1077,New Zealand,1956,0,1,0
1078,New Zealand,1960,1,2,0
1079,New Zealand,1964,2,2,0
1080,New Zealand,1968,2,5,0
1081,New Zealand,1972,1,9,4
1082,New Zealand,1976,9,15,1
1083,New Zealand,1984,6,16,1
1084,New Zealand,1988,16,4,4
1085,New Zealand,1992,5,1,9
1086,New Zealand,1996,4,3,2
1087,New Zealand,2000,3,1,0
1088,New Zealand,2004,0,4,2
1089,New Zealand,2008,9,4,2
1090,New Zealand,2012,15,9,3
1091,New Zealand,2016,5,6,25
1092,Niger,1972,1,0,0
1093,Niger,2016,0,0,1
1094,Nigeria,1964,1,0,0
1095,Nigeria,1972,1,0,0
1096,Nigeria,1984,4,0,1
1097,Nigeria,1992,4,0,7
1098,Nigeria,1996,3,17,4
1099,Nigeria,2000,0,6,2
1100,Nigeria,2004,8,0,0
1101,Nigeria,2008,7,0,16
1102,Nigeria,2016,18,0,0
1103,Nina,1912,0,0,7
1104,Nina Claire-2,1900,4,0,0
1105,Nirefs,1960,0,3,0
1106,Norna,1928,0,4,0
1107,North Korea,1972,13,1,1
1108,North Korea,1976,0,1,1
1109,North Korea,1980,2,0,3
1110,North Korea,1992,4,4,0
1111,North Korea,1996,2,2,1
1112,North Korea,2000,3,0,1
1113,North Korea,2004,1,0,4
1114,North Korea,2008,3,2,1
1115,North Korea,2012,2,4,0
1116,North Korea,2016,2,2,3
1117,North Korea-1,1992,2,0,0
1118,Norway,1900,3,0,6
1119,Norway,1904,0,2,0
1120,Norway,1906,0,20,5
1121,Norway,1908,3,7,32
1122,Norway,1912,24,25,6
1123,Norway,1920,24,14,40
1124,Norway,1924,3,6,5
1125,Norway,1928,1,0,4
1126,Norway,1936,15,1,1
1127,Norway,1948,11,0,4
1128,Norway,1952,0,2,0
1129,Norway,1956,2,1,0
1130,Norway,1968,0,4,2
1131,Norway,1972,4,2,2
1132,Norway,1976,0,2,4
1133,Norway,1984,3,0,1
1134,Norway,1988,0,2,20
1135,Norway,1992,1,2,20
1136,Norway,1996,18,2,3
1137,Norway,2000,19,20,4
1138,Norway,2004,2,5,0
1139,Norway,2008,1,16,5
1140,Norway,2012,1,15,1
1141,Norway,2016,19,0,0
1142,Nrnberg,1936,0,1,0
1143,Nurdug II,1912,0,0,3
1144,Nykjbings paa Falster,1912,0,5,0
1145,Olle,1900,0,6,0
1146,Omas Helliniki P. S.,1906,0,0,8
1147,Oranje,1920,0,3,0
1148,Ormsund Roklub-2,1912,5,0,0
1149,"Osborne Swimming Club, Manchester",1900,0,7,0
1150,Pakistan,1956,0,0,14
1151,Pakistan,1960,1,13,0
1152,Pakistan,1964,0,0,16
1153,Pakistan,1968,0,13,0
1154,Pakistan,1972,0,0,15
1155,Pakistan,1976,16,0,0
1156,Pakistan,1984,0,16,0
1157,Pakistan,1988,1,0,0
1158,Pakistan,1992,16,0,0
1159,Pan,1948,0,3,0
1160,Pan,1952,0,3,0
1161,Panama,1948,2,0,0
1162,Panama,2008,0,1,0
1163,Pandora,1964,0,2,0
1164,Paraguay,2004,0,0,17
1165,Peru,1948,0,1,0
1166,Peru,1984,0,0,1
1167,Peru,1988,0,0,12
1168,Peru,1992,0,0,1
1169,"Phalainis ton Thorichtou ""Hydra""-2",1906,7,0,17
1170,"Philadelphia Turngemeinde, Philadelphia",1904,0,6,0
1171,Philippines,1928,1,0,0
1172,Philippines,1932,3,0,0
1173,Philippines,1936,1,0,0
1174,Philippines,1964,0,0,1
1175,Philippines,1988,1,0,0
1176,Philippines,1992,1,0,0
1177,Philippines,1996,0,0,1
1178,Philippines,2016,0,0,1
1179,Pistoja/Firenze,1906,9,0,0
1180,Poland,1924,1,0,4
1181,Poland,1928,15,2,3
1182,Poland,1932,14,3,4
1183,Poland,1936,6,0,6
1184,Poland,1948,1,1,0
1185,Poland,1952,1,1,2
1186,Poland,1956,9,1,9
1187,Poland,1960,15,4,11
1188,Poland,1964,23,10,13
1189,Poland,1968,30,5,2
1190,Poland,1972,11,27,8
1191,Poland,1976,26,18,29
1192,Poland,1980,22,3,25
1193,Poland,1988,10,2,9
1194,Poland,1992,19,5,22
1195,Poland,1996,7,7,8
1196,Poland,2000,7,7,8
1197,Poland,2004,6,4,2
1198,Poland,2008,1,6,13
1199,Poland,2012,8,2,2
1200,Poland,2016,10,3,3
1201,Poland-1,2000,0,0,2
1202,Polyteknisk Roklub-1,1912,5,0,0
1203,Portugal,1924,4,0,0
1204,Portugal,1928,6,0,0
1205,Portugal,1936,3,0,0
1206,Portugal,1948,3,0,0
1207,Portugal,1976,0,0,2
1208,Portugal,1984,2,1,0
1209,Portugal,1988,0,1,0
1210,Portugal,1996,2,1,0
1211,Portugal,2000,2,0,0
1212,Portugal,2004,1,0,2
1213,Portugal,2008,0,1,1
1214,Portugal,2012,0,0,2
1215,Portugal,2016,1,0,0
1216,Potomac Archers,1904,0,4,0
1217,Potsdam,1936,1,0,0
1218,Puerto Rico,1948,1,0,0
1219,Puerto Rico,1976,1,0,0
1220,Puerto Rico,1984,1,0,1
1221,Puerto Rico,1992,1,0,0
1222,Puerto Rico,1996,1,0,0
1223,Puerto Rico,2012,1,0,1
1224,Puerto Rico,2016,0,1,0
1225,Pupilles de Neptune de Lille #2-1,1900,8,0,0
1226,Pupilles de Neptune de Lille-1,1900,4,0,0
1227,Qatar,1992,1,0,0
1228,Qatar,2000,1,0,0
1229,Qatar,2012,2,0,0
1230,Qatar,2016,0,0,1
1231,Quand-Mme-2,1900,0,0,9
1232,Racing Club de France,1900,0,0,11
1233,Ralia,1952,5,0,0
1234,Ravenswood Boat Club-2,1904,0,0,2
1235,Roddklubben af 1912-1,1912,0,0,5
1236,Roehampton-1,1908,0,4,0
1237,Romania,1924,16,0,0
1238,Romania,1936,0,0,1
1239,Romania,1952,2,1,1
1240,Romania,1956,10,6,3
1241,Romania,1960,11,3,1
1242,Romania,1964,10,2,4
1243,Romania,1968,9,5,9
1244,Romania,1972,27,3,10
1245,Romania,1976,23,4,28
1246,Romania,1980,46,7,15
1247,Romania,1984,35,40,31
1248,Romania,1988,16,8,34
1249,Romania,1992,14,8,31
1250,Romania,1996,15,13,10
1251,Romania,2000,13,27,6
1252,Romania,2004,11,23,5
1253,Romania,2008,16,5,1
1254,Romania,2012,6,2,8
1255,Romania,2016,10,4,2
1256,Rose Pompon,1920,0,0,3
1257,Rostock,1936,0,0,1
1258,Rowing Club Castillon-3,1900,3,0,0
1259,Royal Club Nautique de Gand,1900,0,0,9
1260,Royal Club Nautique de Gand,1906,0,0,3
1261,Royal Club Nautique de Gand,1908,0,0,9
1262,Rush V,1956,0,3,0
1263,Rush VII,1964,0,0,3
1264,Russia,1908,0,1,2
1265,Russia,1912,2,0,5
1266,Russia,1996,34,36,45
1267,Russia,2000,54,66,67
1268,Russia,2004,95,48,46
1269,Russia,2008,53,43,46
1270,Russia,2012,49,50,39
1271,Russia,2016,35,50,28
1272,Russia-1,2012,2,0,0
1273,Russia-2,2016,0,2,0
1274,Salinero,2008,0,0,1
1275,Sans Atout-1,1912,0,0,5
1276,Santa Maria,1932,0,0,6
1277,Sarcelle-3,1900,3,0,0
1278,Satchmo,2008,0,1,0
1279,Saudi Arabia,2000,1,0,1
1280,Saudi Arabia,2012,4,0,0
1281,Scamasaxe-2,1900,2,0,0
1282,Scamasaxe-3,1900,0,0,2
1283,Scotia,1900,0,6,0
1284,Scotland-3,1908,11,0,0
1285,Seawanhaka Boat Club-1,1904,0,2,0
1286,Senegal,1988,0,0,1
1287,Serbia,2008,14,0,1
1288,Serbia,2012,14,1,1
1289,Serbia,2016,13,14,27
1290,Serbia and Montenegro,1996,13,1,12
1291,Serbia and Montenegro,2000,13,11,1
1292,Serbia and Montenegro,2004,0,0,13
1293,Shrew II,1960,2,0,0
1294,Sif,1920,0,4,0
1295,Sildra-1,1920,0,4,0
1296,Silja,1936,0,0,6
1297,Singapore,1960,0,0,1
1298,Singapore,2008,0,0,3
1299,Singapore,2012,4,0,0
1300,Singapore,2016,0,1,0
1301,Sirene,1960,0,2,0
1302,Skum,1960,0,0,2
1303,Slaghoken,1948,0,0,3
1304,Slaghoken II,1956,0,3,0
1305,Slovakia,1996,1,1,1
1306,Slovakia,2000,1,2,3
1307,Slovakia,2004,5,3,2
1308,Slovakia,2008,1,4,5
1309,Slovakia,2012,4,0,1
1310,Slovakia,2016,0,3,5
1311,Slovenia,1992,6,0,0
1312,Slovenia,1996,0,0,2
1313,Slovenia,2000,0,3,0
1314,Slovenia,2004,3,0,2
1315,Slovenia,2008,2,1,2
1316,Slovenia,2012,3,1,1
1317,Slovenia,2016,1,1,2
1318,Smyrna,1906,0,0,11
1319,Snap,1948,3,0,0
1320,Societ Nautique de la Marne-1,1900,0,0,2
1321,Socit Nautique de Bayonne-1,1906,3,0,0
1322,Socit Nautique de Bayonne-2,1906,5,0,0
1323,Socit Nautique de la Basse Seine-1,1906,3,0,5
1324,Sorais-2,1908,5,0,0
1325,South Africa,1908,0,1,1
1326,South Africa,1912,0,5,2
1327,South Africa,1920,6,3,12
1328,South Africa,1924,1,1,1
1329,South Africa,1928,5,1,0
1330,South Africa,1932,3,2,0
1331,South Africa,1936,0,0,1
1332,South Africa,1948,2,2,2
1333,South Africa,1952,4,2,8
1334,South Africa,1956,7,0,0
1335,South Africa,1960,2,0,1
1336,South Africa,1992,0,0,3
1337,South Africa,1996,1,3,1
1338,South Africa,2000,3,0,2
1339,South Africa,2004,3,4,3
1340,South Africa,2008,0,0,1
1341,South Africa,2012,1,6,2
1342,South Africa,2016,14,2,7
1343,South Korea,1948,2,0,0
1344,South Korea,1952,2,0,0
1345,South Korea,1956,1,0,1
1346,South Korea,1964,1,0,2
1347,South Korea,1968,1,0,1
1348,South Korea,1972,0,0,1
1349,South Korea,1976,15,1,1
1350,South Korea,1984,7,6,28
1351,South Korea,1988,10,28,37
1352,South Korea,1992,8,24,5
1353,South Korea,1996,3,8,45
1354,South Korea,2000,31,12,24
1355,South Korea,2004,8,12,26
1356,South Korea,2008,24,39,9
1357,South Korea,2012,28,18,13
1358,South Korea,2016,8,13,3
1359,South Korea-1,1992,6,2,0
1360,South Korea-1,1996,2,2,0
1361,South Korea-1,2000,2,0,2
1362,South Korea-1,2004,2,0,2
1363,South Korea-1,2008,2,2,2
1364,South Korea-1,2012,2,0,0
1365,South Korea-1,2016,2,0,0
1366,South Korea-2,1988,2,0,0
1367,South Korea-2,1992,2,2,0
1368,South Korea-2,1996,2,0,4
1369,South Korea-2,2000,2,0,0
1370,South Korea-2,2004,0,2,0
1371,Soviet Union,1952,19,36,62
1372,Soviet Union,1956,55,68,46
1373,Soviet Union,1960,45,59,63
1374,Soviet Union,1964,51,60,63
1375,Soviet Union,1968,64,65,63
1376,Soviet Union,1972,60,107,47
1377,Soviet Union,1976,77,114,95
1378,Soviet Union,1980,126,187,129
1379,Soviet Union,1988,99,134,67
1380,Spain,1900,0,2,0
1381,Spain,1920,0,0,23
1382,Spain,1928,0,3,0
1383,Spain,1932,1,0,0
1384,Spain,1948,0,0,3
1385,Spain,1952,0,0,1
1386,Spain,1960,14,0,0
1387,Spain,1972,1,0,0
1388,Spain,1976,0,0,6
1389,Spain,1980,3,2,19
1390,Spain,1984,3,2,14
1391,Spain,1988,2,1,2
1392,Spain,1992,2,48,19
1393,Spain,1996,22,23,21
1394,Spain,2000,20,3,19
1395,Spain,2004,9,4,15
1396,Spain,2008,16,7,45
1397,Spain,2012,25,5,33
1398,Spain,2016,17,7,19
1399,Spain-1,2008,0,0,2
1400,Spain-2,2004,0,0,2
1401,Spain-2,2016,0,2,0
1402,Sri Lanka,1948,0,0,1
1403,Sri Lanka,2000,0,0,1
1404,St. Louis Amateur Athletic Association,1904,0,0,12
1405,St. Louis Southwest Turnverein #1-2,1904,0,0,5
1406,St. Louis Southwest Turnverein #2-3,1904,5,0,0
1407,St. Rose-2,1904,12,0,0
1408,Starita,1948,2,0,0
1409,Stella-2,1920,3,0,0
1410,Sudan,2008,0,0,1
1411,Sunrise,2008,0,0,1
1412,Sunshine,1936,0,0,2
1413,Suriname,1988,0,1,0
1414,Suriname,1992,1,0,0
1415,Sweden,1900,1,0,0
1416,Sweden,1906,14,2,5
1417,Sweden,1908,18,48,13
1418,Sweden,1912,20,95,38
1419,Sweden,1920,64,45,34
1420,Sweden,1924,43,7,22
1421,Sweden,1928,16,7,8
1422,Sweden,1932,10,9,7
1423,Sweden,1936,12,7,9
1424,Sweden,1948,25,30,12
1425,Sweden,1952,20,23,21
1426,Sweden,1956,6,8,14
1427,Sweden,1960,3,2,2
1428,Sweden,1964,6,3,1
1429,Sweden,1968,1,4,4
1430,Sweden,1972,8,4,10
1431,Sweden,1976,0,9,1
1432,Sweden,1980,9,3,8
1433,Sweden,1984,13,3,18
1434,Sweden,1988,11,0,5
1435,Sweden,1992,7,1,27
1436,Sweden,1996,5,3,23
1437,Sweden,2000,8,4,20
1438,Sweden,2004,2,5,5
1439,Sweden,2008,2,0,3
1440,Sweden,2012,3,2,17
1441,Sweden,2016,3,2,23
1442,Sweden-1,1912,0,0,2
1443,Sweden-2,1912,0,0,2
1444,Sweden-2,2008,0,0,2
1445,Sweden-3,1912,2,0,0
1446,Swedish Star,1932,2,0,0
1447,Swift,1948,0,2,0
1448,Switzerland,1896,0,1,2
1449,Switzerland,1900,1,13,1
1450,Switzerland,1904,2,1,0
1451,Switzerland,1906,1,8,3
1452,Switzerland,1912,0,2,0
1453,Switzerland,1920,21,6,2
1454,Switzerland,1924,21,14,25
1455,Switzerland,1928,4,16,10
1456,Switzerland,1932,0,0,1
1457,Switzerland,1936,24,5,23
1458,Switzerland,1948,6,5,25
1459,Switzerland,1952,12,2,19
1460,Switzerland,1956,3,0,0
1461,Switzerland,1960,3,0,6
1462,Switzerland,1964,1,1,4
1463,Switzerland,1968,10,0,3
1464,Switzerland,1972,0,0,8
1465,Switzerland,1976,6,1,3
1466,Switzerland,1980,0,2,0
1467,Switzerland,1984,4,0,9
1468,Switzerland,1988,2,0,6
1469,Switzerland,1992,0,1,0
1470,Switzerland,1996,0,5,6
1471,Switzerland,2000,2,1,11
1472,Switzerland,2004,2,1,2
1473,Switzerland,2008,7,3,1
1474,Switzerland,2012,0,2,2
1475,Switzerland,2016,2,6,3
1476,Switzerland-2,2004,2,0,0
1477,Sylvia,1928,6,0,0
1478,Symphony,1948,0,0,2
1479,Syria,1984,0,0,1
1480,Syria,1996,0,1,0
1481,Syria,2004,1,0,0
1482,Taifun,1912,0,5,0
1483,Tajikistan,2008,1,0,1
1484,Tajikistan,2012,1,0,0
1485,Tajikistan,2016,0,1,0
1486,Tan-Fe-Pah,1920,0,0,3
1487,Tango,1960,0,0,3
1488,Tanzania,1980,0,0,2
1489,Thailand,1976,1,0,0
1490,Thailand,1984,0,0,1
1491,Thailand,1988,1,0,0
1492,Thailand,1992,1,0,0
1493,Thailand,1996,1,1,0
1494,Thailand,2000,2,1,0
1495,Thailand,2004,4,3,1
1496,Thailand,2008,0,2,2
1497,Thailand,2012,1,0,2
1498,Thailand,2016,2,2,2
1499,Thames Rowing Club,1912,0,0,5
1500,Thessalonki-1,1906,11,0,0
1501,Tip,1956,0,0,3
1502,Togo,2008,1,0,0
1503,Tonga,1996,0,0,1
1504,Tornado,1952,0,0,3
1505,Tornado,1960,0,2,0
1506,Toronto Argonauts,1904,0,0,9
1507,Toronto Argonauts,1908,9,0,0
1508,Trans-Mississippi Golf Association-2,1904,0,0,10
1509,Trinidad and Tobago,1948,0,0,1
1510,Trinidad and Tobago,1952,2,0,0
1511,Trinidad and Tobago,1964,5,0,1
1512,Trinidad and Tobago,1976,0,1,0
1513,Trinidad and Tobago,1996,2,0,0
1514,Trinidad and Tobago,2000,1,0,1
1515,Trinidad and Tobago,2004,1,0,0
1516,Trinidad and Tobago,2008,0,5,1
1517,Trinidad and Tobago,2012,5,1,4
1518,Trinidad and Tobago,2016,1,0,0
1519,Tritons Lillois-2,1900,0,0,5
1520,Tunisia,1964,1,0,1
1521,Tunisia,1968,1,1,0
1522,Tunisia,1972,0,0,1
1523,Tunisia,1996,1,0,0
1524,Tunisia,2008,0,1,0
1525,Tunisia,2012,1,1,1
1526,Tunisia,2016,3,0,0
1527,Turkey,1936,1,1,0
1528,Turkey,1948,2,6,4
1529,Turkey,1952,1,2,0
1530,Turkey,1956,2,3,2
1531,Turkey,1960,0,7,2
1532,Turkey,1964,1,2,3
1533,Turkey,1968,0,2,0
1534,Turkey,1972,0,0,1
1535,Turkey,1984,3,0,0
1536,Turkey,1988,0,1,1
1537,Turkey,1992,2,2,2
1538,Turkey,1996,1,4,1
1539,Turkey,2000,2,3,0
1540,Turkey,2004,5,3,3
1541,Turkey,2008,3,1,3
1542,Turkey,2012,1,2,2
1543,Turkey,2016,4,1,3
1544,Turquoise-1,1900,1,0,0
1545,Tutti V,1928,5,0,0
1546,USFSA,1900,0,0,13
1547,Uganda,1968,1,0,1
1548,Uganda,1972,0,1,1
1549,Uganda,1980,0,0,1
1550,Uganda,1996,1,0,0
1551,Uganda,2012,0,1,0
1552,Ukraine,1996,19,10,5
1553,Ukraine,2000,12,3,20
1554,Ukraine,2004,31,8,8
1555,Ukraine,2008,16,10,5
1556,Ukraine,2012,12,9,5
1557,Ukraine,2016,5,2,8
1558,Unified Team,1992,67,92,61
1559,Union des Socits Franais de Sports Athletiques,1900,0,17,12
1560,United Arab Emirates,2004,0,1,0
1561,United Arab Emirates,2016,1,0,0
1562,United Arab Republic,1960,1,0,1
1563,United States,1896,2,11,7
1564,United States,1900,13,18,14
1565,United States,1904,66,65,68
1566,United States,1906,6,12,6
1567,United States,1908,15,34,16
1568,United States,1912,36,46,25
1569,United States,1920,38,111,45
1570,United States,1924,49,91,34
1571,United States,1928,17,47,24
1572,United States,1932,61,67,42
1573,United States,1936,16,51,29
1574,United States,1948,33,80,30
1575,United States,1952,28,73,21
1576,United States,1956,20,59,42
1577,United States,1960,19,78,23
1578,United States,1964,29,95,35
1579,United States,1968,35,99,32
1580,United States,1972,43,69,59
1581,United States,1976,36,70,58
1582,United States,1984,50,186,116
1583,United States,1988,54,87,66
1584,United States,1992,85,87,50
1585,United States,1996,52,157,46
1586,United States,2000,51,128,61
1587,United States,2004,69,115,75
1588,United States,2008,78,121,110
1589,United States,2012,44,139,55
1590,United States,2016,67,137,52
1591,United States Golf Association-3,1904,10,0,0
1592,United States Virgin Islands,1988,0,0,1
1593,United States-1,1904,0,2,0
1594,United States-1,1924,0,4,0
1595,United States-1,1992,0,2,0
1596,United States-1,1996,0,2,0
1597,United States-1,2000,0,2,0
1598,United States-1,2004,0,2,0
1599,United States-1,2008,2,4,0
1600,United States-1,2012,2,6,0
1601,United States-1,2016,2,0,2
1602,United States-2,1904,0,0,2
1603,United States-2,1924,0,2,2
1604,United States-2,1996,0,0,2
1605,United States-2,2004,2,0,0
1606,United States-2,2008,0,2,0
1607,United States-2,2012,0,0,2
1608,United States-2,2016,2,2,0
1609,United States-3,1904,2,0,0
1610,United States-4,1904,2,0,0
1611,United States/France,1900,0,0,2
1612,United States/Great Britain,1900,2,0,0
1613,Univ. of Brussels,1900,11,0,0
1614,Upton Park FC,1900,0,11,0
1615,Uruguay,1924,0,14,0
1616,Uruguay,1928,0,17,0
1617,Uruguay,1932,1,0,0
1618,Uruguay,1948,2,0,1
1619,Uruguay,1952,14,0,0
1620,Uruguay,1956,12,0,0
1621,Uruguay,1964,1,0,0
